id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Kira;Robel;Stephany.Ziemann@yahoo.com;comparison;2024-03-10T12:01:41;11111;22596
2;Brook;Smith;Trevor_Corwin@gmail.com;outrigger;2024-03-09T19:56:27;25743;21348
3;Retha;Hansen;Rebeka47@yahoo.com;over times;2024-03-10T07:22:16;27461;624
4;Donny;Doyle;Cooper_Thiel@yahoo.com;but;2024-03-10T01:43:28;30799;12225
5;Jarvis;Padberg;Charles_Nitzsche@gmail.com;trillion considering;2024-03-10T04:43:44;27695;20257
6;Isai;Gutmann;Mustafa.Harber@yahoo.com;blah miserably meh;2024-03-09T23:30:05;29336;15396
7;Darrell;Swift;Breana_Terry@yahoo.com;phew wrathful until;2024-03-10T04:53:59;21957;16323
8;Nicolette;Howe;Noemi.Becker36@yahoo.com;class;2024-03-10T06:46:36;5113;14545
9;Aleen;Quitzon;Clarabelle.Conroy78@yahoo.com;inasmuch fooey;2024-03-10T11:16:18;26462;29975
10;Alek;Boyer;Daron_Schuppe@gmail.com;ouch;2024-03-10T04:51:57;25069;11810
